survived,sex,age, fare ,class,SEX TYPE,EMBARK TOWN 
0,male,22, $7.25 ,Third,man,Southampton
1,female,38, $71.28 ,First,woman,Cherbourg
1,female,26, $7.93 ,Third,woman,Southampton
1,female,35, $53.10 ,First,woman,Southampton
0,male,35, $8.05 ,Third,man,Southampton
0,male,, $8.46 ,Third,man,Queenstown
0,male,54, $51.86 ,First,man,Southampton
0,male,2, $21.08 ,Third,child,Southampton
1,female,27, $11.13 ,Third,woman,Southampton
1,female,14, $30.07 ,Second,child,Cherbourg
1,female,4, $16.70 ,Third,child,Southampton
1,female,58, $26.55 ,First,woman,Southampton
0,male,20, $8.05 ,Third,man,Southampton
0,male,39, $31.28 ,Third,man,Southampton
0,female,14, $7.85 ,Third,child,Southampton
1,female,55, $16.00 ,Second,woman,Southampton
0,male,2, $29.13 ,Third,child,Queenstown
1,male,, $13.00 ,Second,man,Southampton
0,female,31, $18.00 ,Third,woman,Southampton
1,female,, $7.23 ,Third,woman,Cherbourg
0,male,35, $26.00 ,Second,man,Southampton
1,male,34, $13.00 ,Second,man,Southampton
1,female,15, $8.03 ,Third,child,Queenstown
1,male,28, $35.50 ,First,man,Southampton
0,female,8, $21.08 ,Third,child,Southampton
1,female,38, $31.39 ,Third,woman,Southampton
0,male,, $7.23 ,Third,man,Cherbourg
0,male,19, $263.00 ,First,man,Southampton
1,female,, $7.88 ,Third,woman,Queenstown
0,male,, $7.90 ,Third,man,Southampton
0,male,40, $27.72 ,First,man,Cherbourg
1,female,, $146.52 ,First,woman,Cherbourg
1,female,, $7.75 ,Third,woman,Queenstown
0,male,66, $10.50 ,Second,man,Southampton
0,male,28, $82.17 ,First,man,Cherbourg
0,male,42, $52.00 ,First,man,Southampton
1,male,, $7.23 ,Third,man,Cherbourg
0,male,21, $8.05 ,Third,man,Southampton
0,female,18, $18.00 ,Third,woman,Southampton
1,female,14, $11.24 ,Third,child,Cherbourg
0,female,40, $9.48 ,Third,woman,Southampton
0,female,27, $21.00 ,Second,woman,Southampton
0,male,, $7.90 ,Third,man,Cherbourg
